Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
3123,99,17,258,71,940,246,214,90,1676,1,29
3064,116,11,258,57,1560,240,229,118,1208,3,32
2769,36,10,67,5,3013,219,217,132,5610,1,12
3157,276,14,691,111,6115,181,242,200,1556,1,30
3241,107,9,339,36,3238,236,229,124,4591,1,39
2477,329,24,492,265,999,156,204,184,794,4,6
2912,291,4,60,0,4351,208,239,169,2538,1,29
2943,207,25,150,-23,2145,194,253,182,1953,3,33
3020,297,8,319,-5,1848,196,238,181,1627,3,31
2716,209,12,277,136,2695,211,251,173,1213,3,4
3289,120,9,0,0,1396,236,232,127,3481,2,23
2900,263,25,420,-36,3439,149,242,227,1448,3,13
3172,256,9,42,2,3926,199,246,185,1994,3,23
3275,94,13,301,1,966,240,220,107,3271,2,32
3304,282,12,690,109,741,188,241,193,892,3,32
3278,352,14,1140,261,2036,194,214,158,2069,3,39
3098,24,20,228,70,972,205,193,118,1377,3,24
3015,327,15,212,57,2164,183,223,178,1121,1,29
2918,287,13,277,37,1209,183,239,196,1806,1,29
2901,34,9,741,74,2233,219,221,137,1113,3,11
2989,345,21,150,59,642,175,203,163,2518,1,29
3339,82,30,240,-9,2296,245,173,36,4484,2,39
3037,27,11,212,6,1265,215,217,137,1723,3,32
2624,328,3,0,0,658,212,236,162,1341,3,23
2677,325,13,30,10,1167,187,225,178,1816,1,30
2828,60,7,240,28,1710,225,226,135,2617,3,26
2972,20,8,255,7,3247,215,224,145,6488,1,20
2928,72,2,216,28,4165,222,234,149,3991,1,29
3259,255,18,324,44,3153,175,248,209,1153,3,32
3122,346,10,335,46,2021,201,225,162,2431,3,32
3366,40,12,240,24,1822,221,213,125,4973,2,22
2825,145,15,30,5,2295,239,237,123,2797,1,30
2928,52,19,297,105,362,226,195,95,404,3,33
3262,126,28,446,144,3438,253,208,62,446,3,39
2781,82,5,30,1,808,227,231,138,2906,3,31
2618,84,14,268,50,1252,239,216,105,1437,3,11
2715,262,7,67,4,1784,204,244,179,4306,1,12
3375,315,3,418,36,1320,212,237,163,2330,3,32
3168,189,18,721,75,295,218,251,160,2650,3,23
3055,229,22,488,84,1294,182,254,202,655,3,13
3080,186,10,240,30,376,222,247,158,1248,3,22
3187,19,16,384,110,4056,206,203,131,603,3,24
2759,86,8,124,21,484,232,227,129,2610,3,31
2675,352,15,85,27,918,193,213,158,1871,1,29
3185,315,19,400,97,335,168,222,193,1172,2,22
2881,96,7,309,29,3046,232,230,131,2571,1,12
3151,143,19,182,6,2315,244,232,109,1535,3,27
2681,151,6,0,0,2366,228,240,145,4709,1,20
2916,287,19,295,-14,2080,162,235,211,1317,3,31
2695,332,5,108,-2,1590,209,234,163,781,1,12
3196,30,13,418,78,2848,216,211,129,977,3,22
2879,31,15,242,43,2322,215,207,125,1282,3,24
2522,129,10,127,21,1385,237,234,126,4606,1,18
2983,273,13,234,7,5877,185,243,197,1917,1,23
2612,302,9,350,141,541,194,236,181,454,3,2
2666,25,9,242,21,3305,216,221,141,3019,3,11
3215,219,6,466,56,721,213,246,169,360,3,23
2935,239,17,134,60,1392,188,252,199,865,3,33
3522,113,6,342,88,2818,231,234,136,1953,1,40
3068,294,16,42,3,3650,173,234,201,1101,3,22
2942,3,13,228,33,1461,202,215,149,726,3,31
3166,28,9,175,3,1776,217,220,138,713,3,31
2958,65,8,30,0,4626,228,224,130,2430,1,23
2898,79,11,600,87,1856,235,220,115,2884,3,23
2410,146,19,42,17,755,242,234,113,1115,3,3
2797,49,5,618,67,2784,222,228,141,1727,3,32
3071,232,9,642,-55,2385,206,248,179,1414,3,23
3067,153,14,350,33,6567,236,240,132,3146,1,29
2708,250,6,192,37,1276,208,244,174,3097,1,12
2372,42,19,124,18,872,219,195,104,990,4,10
2989,338,31,153,79,1802,137,179,171,2713,3,33
3121,45,8,30,3,3791,222,223,136,30,3,23
2764,26,12,0,0,927,214,214,134,488,3,31
2725,22,17,324,44,3371,207,201,126,2962,3,10
2912,343,19,175,47,666,179,208,166,1705,3,24
3049,146,7,371,80,5408,230,239,142,892,1,29
3283,359,10,201,44,3480,205,221,154,2436,3,31
2736,40,22,283,112,721,216,185,95,1026,3,33
2423,333,17,300,138,379,180,216,175,967,4,11
3139,32,9,85,7,534,218,221,138,5355,2,22
3350,54,18,824,19,3241,227,200,100,916,3,40
2985,26,7,309,55,1060,217,225,144,2195,1,29
3034,80,16,67,16,4352,240,210,95,2671,1,29
2677,69,11,360,65,876,232,218,116,1208,1,12
3172,143,14,350,36,4716,240,236,122,2167,1,29
3272,261,10,256,77,4930,195,246,189,1101,1,29
3419,67,14,90,10,1803,233,211,106,3359,2,35
2827,354,14,247,31,1961,196,214,156,2804,1,12
3370,189,12,648,164,1471,220,249,160,1772,3,32
2671,297,30,175,87,1374,123,214,224,960,3,33
3298,264,16,153,74,1320,179,246,205,2489,1,40
3098,171,8,268,49,4948,226,244,151,153,1,29
3041,349,15,277,58,2630,192,214,160,2513,3,31
3031,37,9,541,0,6366,220,220,135,3807,1,29
2936,107,17,258,63,1776,247,217,92,1276,1,29
3159,328,14,576,132,4544,185,222,177,2030,1,29
3097,266,7,67,5,5462,203,243,179,2948,1,23
3088,135,12,390,-94,1800,239,235,124,1355,1,29
3151,38,18,268,14,1465,217,197,110,90,1,22
3099,342,2,242,34,2321,216,236,158,2162,3,32
3151,294,20,362,55,1626,158,230,210,2532,3,33
3056,227,11,150,19,3092,204,251,183,1687,3,13
3203,323,18,295,12,3945,172,218,185,1622,3,22
3283,63,19,376,84,1026,233,199,91,1777,2,38
2926,174,2,95,1,1015,220,240,156,2240,1,23
